filename;num_of_correctly_detected;num_of_all_faces;num_of_misdetected;;;
32699.jpg;0;1;0;;;
105689.jpg;1;5;1;;;
119235.jpg;0;1;0;;;
123560.jpg;0;2;0;;;
126710.jpg;0;1;0;;;
136837.jpg;0;1;0;;;
163673.jpg;5;10;0;;;
166583.jpg;0;1;0;;;
180972.jpg;0;1;0;;;
181765.jpg;0;2;0;;;
188648.jpg;1;1;1;;;
238960.jpg;0;3;1;;;
265808.jpg ;0;2;0;;;
277884.jpg;0;1;0;;;
294760.jpg;1;1;2;;;
323157.jpg;0;1;0;;;
327343.jpg ;0;2;0;;;
354229.jpg;0;2;1;;;
359525.jpg;0;1;0;;;
361210.jpg;0;1;0;;;
363962.jpg;0;1;0;;;
425102.jpg;0;1;1;;;
446980.jpg;1;3;1;;;
449398.jpg;1;2;3;;;
450866.jpg;0;4;0;;;
452259.jpg;0;3;1;;;
458083.jpg;0;2;0;;;
476851.jpg;0;2;0;;;
480397.jpg;0;1;0;;;
486585.jpg;1;1;1;;;
505160.jpg;0;1;1;;;
514014.jpg;0;2;2;;;
528229.jpg;0;3;1;;;
551679.jpg;0;3;1;;;
555137.jpg;2;2;1;;;
631631.jpg;0;4;2;;;
641015.jpg;0;2;3;;;
648940.jpg;1;2;0;;;
649212.jpg;0;3;0;;;
676676.jpg;0;2;0;;;
695236.jpg;0;2;1;;;
696905.jpg;0;1;0;;;
715882.jpg;0;2;0;;;
721470.jpg ;1;6;1;;;
779511.jpg;1;1;3;;;
780947.jpg;0;3;0;;;
788246.jpg;1;1;0;;;
809357.jpg;1;1;0;;;
844543.jpg;1;2;0;;;
946261.jpg;1;6;2;;;
958406.jpg;1;4;2;;;
964671.jpg;1;3;1;;;
968843.jpg;1;3;0;;;
991380.jpg;0;1;0;;;
998873.jpg;0;1;0;;;
1033648.jpg;0;2;0;;;
1035100.jpg;1;2;1;;;
1061176.jpg;1;1;1;;;
1084583.jpg;0;2;0;;;
1099697.jpg;0;1;0;;;
1104353.jpg;0;1;1;;;
1119134.jpg;0;2;0;;;
1146200.jpg;1;2;2;;;
1161530.jpg;1;2;0;;;
1195319.jpg;0;1;2;;;
1265096.jpg;1;2;2;;;
1266331.jpg;1;2;0;;;
1270285.jpg;0;2;2;;;
1287019.jpg;0;2;0;;;
img.jpg;2;2;3;;;
